idx,title,content,date,body_url
47,Yoon Ahn Represents New Lifestyle,"November 29, 2018 – The celebrated jewelry designer and one half of the brand AMBUSH® drew inspiration from her nonstop pace to infuse the new Nike x AMBUSH® apparel collection with a contemporary vibe that flows through space and time. The pieces drop December 6. ","November 29, 2018",/news/yoon-ambush-air-max-180-apparel-collection
48,Heron Preston’s Great Reminder: Nike is Bigger Than Sneakers,"November 27, 2018 – By choosing the Nike Tailwind sunglasses as a collaborative canvas, New York–based designer Heron Preston sheds light on a lesser-known innovation. The product releases November 29.","November 27, 2018",/news/heron-preston-tailwind-sunglasses
49,Kyrie Irving Taps Concepts for an All-Seeing Collaboration,"November 26, 2018 – Inspired by ancient Egypt and born in Cambridge, Mass., Concepts brings an abstract flare and a local link to Irving’s latest signature shoe.","November 26, 2018",/news/kyrie-5-concepts
50,Air Jordan XI Concord,"November 15, 2018 – The Air Jordan XI Concord returns in its original form for the first time.","November 15, 2018",/news/air-jordan-11-concord
51,Jerry Lorenzo Aims to Awaken the Spirit,"November 12, 2018 – With the Nike Air Fear of God 1 and a new apparel collection, Lorenzo taps into basketball’s most visceral elements. The Nike Air Fear of God collection releases December 15.","November 12, 2018",/news/nike-air-fear-of-god
52,A Visual History of the Nike Air Force 1 ,"November 05, 2018 – How did the Air Force 1 become a shoe icon? Take a look at this illustrative guide.","November 05, 2018",/news/nike-air-force-1-visual-history
53,Union x Air Jordan Capsule Celebrates an Era of Jordan’s Impact on Streetwear,"October 29, 2018 – The capsule, highlighted by the Union x Air Jordan I, releases November 17.","October 29, 2018",/news/union-air-jordan-1-capsule
54,Samuel Ross Wants the Nike x A–COLD–WALL* Capsule Collection to Live,"October 29, 2018 – With apparel and a Nike Zoom Vomero +5, the Nike x A–COLD–WALL* Capsule Collection launches November 17 exclusively in London and a global release follows November 29.","October 29, 2018",/news/nike-zoom-vomero-a-cold-wall
55,Why Flyleather Matters to the Future of Nike Icons,"October 25, 2018 – Take an in-depth look at the various applications of Nike Flyleather as modeled on the Air Force 1. ","October 25, 2018",/news/flyleather-air-force-1
56,Icon Meets Iconoclast: Behind the Converse x Brain Dead Collaboration,"October 23, 2018 – Mixing patterns, materials, silhouettes and more, the Converse x Brain Dead collection gives an irreverent twist to the Chuck 70 and a subversive spin on familiar garments too.","October 23, 2018",/news/icon-meets-iconoclast-behind-the-converse-x-brain-dead-collaboration
57,Nike’s Latest Collection with Patta Broadens Its Collaborative Scope,"October 15, 2018 – Inspired by the phrase ""Publicity. Publicity. Wohooooow!"" Patta’s latest collection with Nike features multiple creative expressions including apparel, footwear and a campaign including 11 artists.","October 15, 2018",/news/nike-x-patta-am-90-x-95-apparel
58, Kendrick Lamar on the Nike Cortez Kenny IV “House Shoe”,"October 11, 2018 – The fourth and final Nike Cortez Kenny releases October 14.","October 11, 2018",/news/kendrick-lamar-nike-cortez-house-shoe
59,How Tom Sachs’ Impromptu Work as Wear-Tester Birthed a Whole New Shoe (Or: The Virtues of a Freakout),"October 06, 2018 – The Nike Mars Yard Overshoe, the New York-based artist’s third collaborative release with Nike, is designed to withstand the city’s messy winters and built to the exact specifications of Sachs himself. It launches October 11 via DSM London; a global release follows in the coming months.","October 06, 2018",/news/tom-sachs-mars-yard-overshoe
60,JW Anderson and Converse Continue Reimagining the Chuck 70 Through Texture and Color  ,"October 04, 2018 – The Converse x JW Anderson “Felt” collection is available globally October 11 on converse.com, j-w-anderson.com and at select retailers. ","October 04, 2018",/footwear/converse-jw-anderson-felt
61,Nike and Virgil Abloh Debut New Track and Field-Inspired Designs in Paris,"September 27, 2018 – A star-studded line-up of Nike track and field athletes walked Virgil Abloh's Paris runway show and debuted a series of new running-led products.","September 27, 2018",/news/nike-and-virgil-abloh-celebrate-track-field-style
62,Jordan Brand Unveils Full PSG Collection ,"September 13, 2018 – Two icons of sport and style join forces on new kits and a lifestyle collection.","September 13, 2018",/news/jordan-brand-paris-saint-germain-psg
63,Converse and Don C Reintroduce the ERX,"September 10, 2018 – Designer Don C links with Converse to bring back one of the brand's most revered late '80s basketball models. ","September 10, 2018",/news/converse-revives-the-erx-a-counterculture-hoops-classic-draft
64,How to Get the Nike React Element 87 x UNDERCOVER,"September 10, 2018 – The Nike React Element 87 x UNDERCOVER is available September 13 at select retailers.","September 10, 2018",/news/how-to-get-the-nike-react-element-87-x-undercover-draft
65,Jordan Brand NFL PE Cleats,"September 06, 2018 – In addition, seven NFL players will join the Jordan family and represent the brand on the gridiron.","September 06, 2018",/news/jordan-brand-nfl-cleats
66,Jordan Brand x Carmelo Anthony x Rag & Bone Capsule,"September 05, 2018 – The Jordan Brand x Carmelo Anthony x Rag & Bone capsule releases late September.","September 05, 2018",/news/carmelo-anthony-rag-bone-jordan-brand
67,Harlem's Fashion Row x LeBron 16,"September 04, 2018 – The HFR x LeBron 16 — the first LeBron signature shoe reimagined by women — is inspired by the strong females in LeBron James’ life. The shoe releases September 7 in limited quantities as an exclusive on SNKRS in North America and on nike.com.","September 04, 2018",/news/hfr-x-lebron-16
68,Converse x Suicidal Tendencies Collection,"August 30, 2018 – The band's Converse collection drops next month in conjunction with the album, ""STill Cyco Punk After All These Years.""","August 30, 2018",/news/converse-suicidal-tendencies-chuck-70-collection
69,Converse x Dr. Woo Reveal Collection ,"August 29, 2018 – The Converse x Dr. Woo collection includes black and white Chuck 70 silhouettes which reveal Sunset Gold and Green Absinthe colorways with use.","August 29, 2018",/news/converse-dr-woo-chuck-70-reveal
70,Justin Timberlake Talks Man of the Woods Inspired Air Jordan 3 JTH,"August 23, 2018 – ""The same way the album is filled with live instrumentation, we wanted the shoe to have the same feeling of being premium and made by hand,” says Timberlake. The Air Jordan III JTH releases on August 28.","August 23, 2018",/news/justin-timberlake-man-of-the-woods-inspired-air-jordan-3-jth
71,Jordan Brand and Vogue AJ1 Zip AWOK and AJ3 AWOK,"August 20, 2018 – The union realized two Air Jordan silhouettes — the AJI Zip AWOK and the AJIII AWOK. The AJI Zip AWOK will be available July 21 and the AJIII AWOK will be available September 7.","August 20, 2018",/news/jordan-brand-vogue-aj1-zip-awok-and-aj3-awok
72,Nike LeBron James x John Elliott Collection and Icon QS,"August 01, 2018 – Comprising a selection of modular apparel and the all-new Nike LeBron James x John Elliott Icon QS sneaker, the collection releases August 4 in North America. ","August 01, 2018",/news/lebron-james-john-elliott-collection-icon-qs
73,Manchester City F.C. Away Kit 2018-19,"July 24, 2018 – The 2018/19 Manchester City away kit is available on nike.com.","July 24, 2018",/news/manchester-city-away-kit-2018-19
74,Converse x JW Anderson Chuck 70 Toy,"July 16, 2018 – The latest release in the ongoing collaborative partnership comes July 19 on converse.com and at select retailers.","July 16, 2018",/news/converse-x-jw-anderson-chuck-70-toy
75,Matthew M Williams Collaborates with Nike on Data-Driven Apparel ,"July 03, 2018 – The Nike x MMW collection releases July 12. ","July 03, 2018",/news/nike-matthew-williams-alyx
76,Nike x Parra Air Max 1 and Zoom Spiridon,"July 02, 2018 – New art, an abstraction of the city and the country, adorns versions of the shoes, along with a sharp new tracksuit, which launch July 21.","July 02, 2018",/news/parra-air-max-1-and-zoom-spiridon
77,Converse x Midnight Studios Chuck 70 and One Star,"June 13, 2018 – Minimal takes on the Chuck 70 and One Star sneakers release June 15 on converse.com and at select retailers.","June 13, 2018",/news/converse-midnight-studios-chuck-70-one-star
78,Jordan Brand and Levi’s Air Jordan 4 and Reversible Trucker Jacket Release Info,"June 07, 2018 – The new washed denim colorways release June 30.","June 07, 2018",/news/jordan-brand-levis-air-jordan-4-white-black-release-date
79,"Nike Introduces Virgil Abloh's “Football, Mon Amour” and Kim Jones' “Football Reimagined” Collections","June 01, 2018 – Virgil Abloh and Kim Jones bring their individual perspectives to the beautiful game in two distinct collections.","June 01, 2018",/news/kim-jones-virgil-abloh-football-collections
80,Introducing the MadeMe and Converse One Star and Apparel Collection,"May 22, 2018 – The designers describe what it was like working on the collection, which is comprised of four One Star Platform silhouettes and an assortment of streetwear, that reflects distinct 90s style through bold colorways and fun riot grrrl-vibe graphics. It releases on May 24 on converse.com and at select global retailers.","May 22, 2018",/news/mademe-x-converse-collection-one-star
81,Introducing the Miley Cyrus Converse Collection,"May 01, 2018 – Her 43-piece debut collection is bold, fun and 100 percent Miley. It releases May 2 on converse.com ","May 01, 2018",/news/revealing-miley-cyrus-collection-with-converse
82,Converse x Virgil Abloh Chuck 70 Release Info,"April 30, 2018 – Find out where the limited-edition shoe will release and how to know when it will be available. ","April 30, 2018",/news/converse-x-virgil-abloh-chuck-70
83,"GOLF le FLEUR* One Star Mono Collection from Tyler, the Creator and Converse ","April 23, 2018 – The GOLF le FLEUR* Mono collection is available April 26 in unisex sizing exclusively from converse.com and golfwang.com. ","April 23, 2018",/footwear/golf-le-fleur-converse-one-star-mono-collection
84,J.W. Anderson x Converse New_Classics Chuck 70,"March 29, 2018 – The final drop in Jonathan Anderson’s first season of collaborative footwear with Converse brings iconic silhouettes further into the designer’s vision. ","March 29, 2018",/news/j-w-anderson-x-converse-chuck-70
85,Nike Mercurial Vapor 360 x Virgil Abloh,"March 28, 2018 – Bridging the gap between foot and eye coordination.","March 28, 2018",/news/mercurial-vapor-360-off-white-virgil-abloh
86,Nike Air VaporMax Moc 2 x ACRONYM® Release Date,"March 23, 2018 – The Nike Air VaporMax Moc 2 x ACRONYM® releases March 23 in all colorways exclusively on acrnm.com.","March 23, 2018",/news/nike-acronym-vapormax-moc-2
87,Filip Pagowski NBA T-Shirts,"March 19, 2018 – The Polish artist, renowned for his editorial and fashion illustration, brings fresh perspective to the league’s franchises. His recast designs appear on a selection of T-shirts launching March 19 exclusively through Nike Connected NBA jerseys. ","March 19, 2018",/news/filip-pagowski-nba-t-shirts
88,Antihero Nike SB Collaboration,"March 09, 2018 – The collection, which includes footwear for Brian Anderson and Grant Taylor, drops March 16. ","March 09, 2018",/news/antihero-nike-sb-collaboration
89,Serena Williams Nike Until We All Win,"March 04, 2018 – ""Until We All Win"" shares Serena's belief that ""there is no wrong way to be a woman.""","March 04, 2018",/news/serena-williams-until-we-all-win
90,Mercurial Superfly 360 x Kim Jones,"March 02, 2018 – The designer's unique take on Nike’s latest football boot innovation will debut on March 6. ","March 02, 2018",/news/kim-jones-mercurial-360
91,The New Converse by JW Anderson Collection,"February 26, 2018 – Coined Simply_Complex, the Converse x JW Anderson collection includes updates to the Thunderbolt and Chuck 70, which will be available March 2 on converse.com, j-w-anderson.com and at JW Anderson stores and select retailers globally.","February 26, 2018",/news/the-new-converse-by-jw-anderson-collection
92,Riccardo Tisci’s Victorious Minotaurs Deliver Mix of Sporty Elegance,"February 08, 2018 – The Italian designer’s latest NikeLab collection offers a new take on the Air Force 1 and basketball inspired garments, including a jersey, jersey dress and pullover hoodie. The new Nike x RT collection will be available February 16.","February 08, 2018",/news/riccardo-tisci-air-force-1-high
93,"Converse Collaborates with Babylon LA, Rokit, RSVP Gallery and CLOT","February 08, 2018 – Each collection responds to the city through the respective perspectives of Babylon LA, Rokit, RSVP Gallery and CLOT.","February 08, 2018",/news/converse-babylon-rokit-rsvp-clot
94,BornxRaised Converse Jack Purcell ,"January 31, 2018 – The collection launches globally February 3 on converse.com and at select retailers. ","January 31, 2018",/news/bornxraised-converse-jack-purcell
95,Converse x Vince Staples Chuck 70,"January 22, 2018 – The Converse x Vince Staples collection features a shoe fans will remember from the Long Beach rapper's recent Life Aquatic tour. ","January 22, 2018",/news/converse-vince-staples-chuck-70
96,Converse x Dr. Woo Chuck 70,"January 17, 2018 – The Converse x Dr. Woo collection releases January 20 on converse.com and at select retailers. ","January 17, 2018",/news/converse-dr-woo-chuck-70
97,"The Latest GOLF le FLEUR* from Tyler, The Creator and Converse Comes in Bold Pastels","January 15, 2018 – It will be available January 18 on converse.com, golfwang.com and at select retailers. ","January 15, 2018",/news/golf-le-fleur-tyler-the-creator-converse
98,Jordan Brand x Levi’s® Air Jordan IV and Reversible Trucker Jacket ,"January 08, 2018 – Jordan Brand and Levi’s® come together for new collaboration. ","January 08, 2018",/news/jordan-brand-levis
99,"Converse, Deviation and Patta Celebrate the Evolution of Club Culture ","December 18, 2017 – Exploring street style over the decades, the Converse x Patta x Deviation collection is available December 21 on converse.com and at select retailers.","December 18, 2017",/news/converse-deviation-patta
100,Silas Adler Isn’t Shy of Provocation ,"December 07, 2017 – The Soulland designer on his second collaboration with Nike SB, the enduring legacy of the Dunk and pushing boundaries.","December 07, 2017",/news/soulland-nike-sb-dunk
101,Opposites Attract in Converse and JW Anderson’s Collaborative GLITTER_GUTTER Collection,"December 07, 2017 – The first drop from this highly anticipated collaboration hits stores December 14.","December 07, 2017",/news/converse-jw-anderson
102,Jay Gordon’s Pendleton x Nike Mowabb is Future Americana,"November 02, 2017 – Launching November 5, Gordon’s two articulations of the Nike iD ACG x Pendleton Mowabb will release at ComplexCon and Bodega Boston respectively.","November 02, 2017",/news/bodega-nike-acg-mowabb-id
103,Explore the NikeLab Gyakusou Holiday Collection,"October 31, 2017 – The winter running apparel fuses Nike’s latest innovations with Takahashi’s unique creativity and experience as a runner. It will be available beginning November 2 at nike.com/lab and at select UNDERCOVER retailers worldwide.
","October 31, 2017",/news/2017-nikelab-gyakusou-holiday-collection
104,"Where To Get Nike and Virgil Abloh's ""The Ten""","October 25, 2017 – Here's the list of global stockists.","October 25, 2017",/news/nike-virgil-abloh-the-ten-release-date
105,Nike and Samuel Ross Present the AF1 A-COLD-WALL*,"October 17, 2017 – The Nike AF1 A-COLD-WALL* is available October 21 exclusively at the A-COLD-WALL* pop-up in London.","October 17, 2017",/news/nike-af1-a-cold-wall
106,"Introducing the GOLF le FLEUR* Collection From Converse and Tyler, The Creator ","October 16, 2017 – The collection, which includes a new articulation of the Converse One Star, launches November 2 at Converse retail stores and on Converse.com.","October 16, 2017",/news/golf-le-fleur-collection-converse-tyler-the-creator
107,UNDFTD Gives the Air Max 97 a Luxury Twist,"September 12, 2017 – The Air Max 97 OG / UNDFTD releases in both black and white colorways exclusively at UNDFTD on September 16. A global launch of the black colorway follows on September 21. ","September 12, 2017",/news/air-max-97-undftd
108,Chelsea FC Returns to Europe’s Elite Competition With Camo Third Kit,"September 12, 2017 – The 2017-18 Chelsea third kit debuts on pitch away to Atlético Madrid on September 27. The kit is available September 12 on nike.com/chelsea and from select retailers.
","September 12, 2017",/news/chelsea-fc-2017-18-third-kit
109,Tottenham Hotspur Unveils Dazzle Camo Third Kit ,"September 12, 2017 – The 2017-18 Tottenham Hotspur third kit is available September 12 from nike.com/tottenhamhotspur and select retailers. ","September 12, 2017",/news/tottenham-hotspur-2017-18-third-kit
110,AS Roma Goes Dark Velvet Brown for 2017-18 Third Kit ,"September 11, 2017 – The new AS Roma third kit will be worn at home on September 16. It is available September 12 on nike.com, asromastore.com and from select retailers.","September 11, 2017",/news/as-roma-2017-18-third-kit
111,F.C. Internazionale Milano’s 2017-18 Third Kit Dazzles with Thunder Blue,"September 11, 2017 – The new F.C. Internazionale Milano Third Kit is available September 12 on nike.com, store.inter.it and from select retailers.","September 11, 2017",/news/f-c-internazionale-milano-2017-18-third-kit
112,Neymar Jr. Reveals Paris Saint Germain Third KIT 2017-18,"September 01, 2017 – The new PSG third kit will be worn during European play. It's available September 12 on nike.com and at official retailers.","September 01, 2017",/news/paris-saint-germain-third-kit-2017-18
113,Exploring the Essence of the Air Max 97,"August 23, 2017 – In celebration of the 20th anniversary of the Nike Air Max 97, six creatives explore the silhouette’s bold character through their own distinct lenses. ","August 23, 2017",/news/air-max-97-movement
114,Skepta on His New Nike Air Max 97 Sk,"August 22, 2017 – The Air Max 97 Sk is available globally starting September 2.","August 22, 2017",/news/skepta-nike-air-max-97
115,Virgil Abloh and Nike Announce New Design Project “The Ten”,"August 21, 2017 – The designer has reconstructed 10 Nike footwear icons.","August 21, 2017",/news/virgil-abloh-nike-the-10
116,"Nike Brings Virgil Abloh, Roger Federer and All-New Customization Concepts to NYC","August 21, 2017 – These experiences, including a first-of-its-kind Roger Federer pop-up shop, redefine personalization and ready the launch of a series of high-heat releases in New York City.","August 21, 2017",/news/nike-brings-virgil-abloh-roger-federer-and-all-new-customization-concepts-to-nyc
117,"Introducing the Nike Air Max 97 LX ""Swarovski""","August 16, 2017 – It's available starting September 7 at select retailers globally.","August 16, 2017",/news/air-max-97-swarovski
118,"Converse and Tyler, the Creator Launch the One Star x Golf Le Fleur Collection","July 27, 2017 – It’s available starting August 3 at Converse retail stores and on Converse.com.","July 27, 2017",/news/converse-tyler-the-creator-golf-le-fleur-collection
119,Manchester City Reveal 2017-18 Away Kit in Los Angeles,"July 25, 2017 – The team will debut the new kit in Los Angeles as part of the International Champions Cup on July 26. It will be available beginning July 27 at nike.com and mancity.com/shop.","July 25, 2017",/news/manchester-city-2017-18-away-kit
120,Chelsea FC and Nike Join Forces To Unveil Home and Away Kits,"July 01, 2017 – The 2017-18 Chelsea FC Home and Away Kits are now available from nike.com/chelsea.","July 01, 2017",/news/chelsea-home-away-kits-2017-18
